,ACC,ACC0,Acc1,ACC2,ECG,EMG,EDA,resp,temp,label
0,"[0.6232000589370728, -0.06220000982284546, -0.7089999914169312]",0.6232000589370728,-0.06220000982284546,-0.7089999914169312,[-0.0729217529296875],[-0.0147857666015625],[2.0313262939453125],[-0.54168701171875],[28.386016845703125],1
1,"[0.6103999614715576, -0.0681999921798706, -0.7175999879837036]",0.6103999614715576,-0.0681999921798706,-0.7175999879837036,[-0.1107330322265625],[0.0062255859375],[1.697540283203125],[2.410888671875],[28.47314453125],1
2,"[0.6430000066757202, -0.06220000982284546, -0.699999988079071]",0.6430000066757202,-0.06220000982284546,-0.699999988079071,[0.030807495117187503],[0.0017852783203125],[2.6214599609375],[-2.276611328125],[28.541778564453125],1
3,"[0.9299999475479126, -0.15380001068115234, -0.2972000241279602]",0.9299999475479126,-0.15380001068115234,-0.2972000241279602,[-0.3176422119140625],[-0.0085601806640625],[1.425933837890625],[0.40435791015625],[31.400299072265625],2
4,"[0.8733999729156494, -0.11440002918243408, -0.2986000180244446]",0.8733999729156494,-0.11440002918243408,-0.2986000180244446,[0.4729156494140625],[-0.0082855224609375],[1.483917236328125],[-0.55999755859375],[31.12823486328125],2
5,"[0.882599949836731, -0.14259999990463257, -0.2889999747276306]",0.882599949836731,-0.14259999990463257,-0.2889999747276306,[-0.0534210205078125],[-4.57763671875e-05],[1.26953125],[3.3050537109375],[31.269287109375],2
6,"[0.878000020980835, -0.14139997959136963, -0.24559998512268066]",0.878000020980835,-0.14139997959136963,-0.24559998512268066,[-0.1772918701171875],[0.0046234130859375],[1.8230438232421875],[-2.23236083984375],[31.185516357421875],2
7,"[0.8702000379562378, -0.12660002708435059, -0.2990000247955322]",0.8702000379562378,-0.12660002708435059,-0.2990000247955322,[-0.2345123291015625],[-0.0065460205078125],[2.689361572265625],[0.52337646484375],[31.145843505859375],2
8,"[0.6073999404907227, -0.06000000238418579, -0.7202000021934509]",0.6073999404907227,-0.06000000238418579,-0.7202000021934509,[0.07379150390625],[-0.0088348388671875],[1.3011932373046875],[2.3468017578125],[28.30609130859375],1
9,"[0.6433999538421631, -0.06099998950958252, -0.6917999982833862]",0.6433999538421631,-0.06099998950958252,-0.6917999982833862,[0.0541534423828125],[0.00054931640625],[2.7843475341796875],[-1.13983154296875],[28.624725341796875],1
10,"[0.618399977684021, -0.07120001316070557, -0.7045999765396118]",0.618399977684021,-0.07120001316070557,-0.7045999765396118,[-0.112152099609375],[0.0127716064453125],[1.3912200927734375],[1.84173583984375],[28.353179931640625],1
11,"[0.6318000555038452, -0.05879998207092285, -0.7089999914169312]",0.6318000555038452,-0.05879998207092285,-0.7089999914169312,[0.1099090576171875],[0.0054473876953125],[2.0587921142578125],[-1.30157470703125],[28.390289306640625],1
12,"[0.8769999742507935, -0.14219999313354492, -0.24699997901916504]",0.8769999742507935,-0.14219999313354492,-0.24699997901916504,[-0.0420684814453125],[0.0101165771484375],[1.7955780029296875],[-3.25469970703125],[31.186981201171875],2
13,"[0.6269999742507935, -0.061399996280670166, -0.712399959564209]",0.6269999742507935,-0.061399996280670166,-0.712399959564209,[0.039459228515625],[-0.0117645263671875],[2.1633148193359375],[0.689697265625],[28.490325927734375],1
14,"[0.8697999715805054, -0.12379997968673706, -0.30900001525878906]",0.8697999715805054,-0.12379997968673706,-0.30900001525878906,[0.2896270751953125],[-0.0125885009765625],[1.84478759765625],[2.14385986328125],[31.05780029296875],2
15,"[0.8710000514984131, -0.12419998645782471, -0.29420000314712524]",0.8710000514984131,-0.12419998645782471,-0.29420000314712524,[-0.0213775634765625],[-0.0025634765625],[1.4530181884765625],[5.87921142578125],[31.098876953125],2
16,"[0.8841999769210815, -0.15539997816085815, -0.2638000249862671]",0.8841999769210815,-0.15539997816085815,-0.2638000249862671,[0.6410980224609375],[0.0091552734375],[1.2767791748046875],[2.15606689453125],[31.286956787109375],2
17,"[0.6313999891281128, -0.061399996280670166, -0.7120000123977661]",0.6313999891281128,-0.061399996280670166,-0.7120000123977661,[0.0317230224609375],[-0.0052642822265625],[1.8886566162109375],[-1.90582275390625],[28.51031494140625],1
18,"[0.6302000284194946, -0.06940001249313354, -0.7092000246047974]",0.6302000284194946,-0.06940001249313354,-0.7092000246047974,[0.4232025146484375],[-0.0193634033203125],[1.5316009521484375],[-1.49993896484375],[28.313232421875],1
19,"[0.8794000148773193, -0.13840001821517944, -0.28179997205734253]",0.8794000148773193,-0.13840001821517944,-0.28179997205734253,[-0.0752105712890625],[0.00640869140625],[2.5257110595703125],[2.0477294921875],[31.107696533203125],2
20,"[0.8761999607086182, -0.14579999446868896, -0.2746000289916992]",0.8761999607086182,-0.14579999446868896,-0.2746000289916992,[0.0502166748046875],[-0.0029296875],[2.5203704833984375],[1.13067626953125],[31.266387939453125],2
21,"[0.8802000284194946, -0.11220002174377441, -0.2888000011444092]",0.8802000284194946,-0.11220002174377441,-0.2888000011444092,[0.0513153076171875],[-0.02252197265625],[2.712249755859375],[6.63909912109375],[31.101806640625],2
22,"[0.6200000047683716, -0.07020002603530884, -0.7174000144004822]",0.6200000047683716,-0.07020002603530884,-0.7174000144004822,[-0.1922149658203125],[-0.0070953369140625],[1.38092041015625],[-0.70343017578125],[28.331756591796875],1
23,"[0.8833999633789062, -0.14420002698898315, -0.251800000667572]",0.8833999633789062,-0.14420002698898315,-0.251800000667572,[0.51947021484375],[-0.0266876220703125],[1.9916534423828125],[-0.41656494140625],[31.27813720703125],2
24,"[0.6194000244140625, -0.09299999475479126, -0.7289999723434448]",0.6194000244140625,-0.09299999475479126,-0.7289999723434448,[-0.2186737060546875],[-0.000732421875],[1.1363983154296875],[-0.9307861328125],[30.237030029296875],1
25,"[0.6186000108718872, -0.06739997863769531, -0.7202000021934509]",0.6186000108718872,-0.06739997863769531,-0.7202000021934509,[0.04779052734375],[0.0004119873046875],[1.2447357177734375],[0.7415771484375],[28.30181884765625],1
26,"[0.8741999864578247, -0.1345999836921692, -0.26660001277923584]",0.8741999864578247,-0.1345999836921692,-0.26660001277923584,[0.054473876953125],[0.0115814208984375],[2.5363922119140625],[0.05645751953125],[31.122344970703125],2
27,"[0.8797999620437622, -0.14300000667572021, -0.2897999882698059]",0.8797999620437622,-0.14300000667572021,-0.2897999882698059,[-0.0182647705078125],[-0.01593017578125],[1.8947601318359375],[-0.91400146484375],[31.329620361328125],2
28,"[0.6145999431610107, -0.10500001907348633, -0.7089999914169312]",0.6145999431610107,-0.10500001907348633,-0.7089999914169312,[-0.1175994873046875],[0.0027923583984375],[3.63311767578125],[1.57012939453125],[28.779388427734375],1
29,"[0.8686000108718872, -0.1273999810218811, -0.29360002279281616]",0.8686000108718872,-0.1273999810218811,-0.29360002279281616,[0.0516815185546875],[0.0027923583984375],[2.6935577392578125],[-1.8096923828125],[31.05487060546875],2
30,"[0.6318000555038452, -0.0690000057220459, -0.7134000062942505]",0.6318000555038452,-0.0690000057220459,-0.7134000062942505,[0.05364990234375],[0.0043487548828125],[2.3975372314453125],[0.77667236328125],[28.5675048828125],1
31,"[0.6282000541687012, -0.07179999351501465, -0.7195999622344971]",0.6282000541687012,-0.07179999351501465,-0.7195999622344971,[-0.18988037109375],[-0.0113983154296875],[1.493072509765625],[0.81634521484375],[28.39459228515625],1
32,"[0.6189999580383301, -0.07740002870559692, -0.7170000076293945]",0.6189999580383301,-0.07740002870559692,-0.7170000076293945,[0.0398712158203125],[-0.0027923583984375],[1.181793212890625],[1.73797607421875],[28.344635009765625],1
33,"[0.8702000379562378, -0.1345999836921692, -0.30820000171661377]",0.8702000379562378,-0.1345999836921692,-0.30820000171661377,[0.0802459716796875],[-0.016937255859375],[1.293182373046875],[-4.54559326171875],[31.145843505859375],2
34,"[0.888200044631958, -0.11180001497268677, -0.2770000100135803]",0.888200044631958,-0.11180001497268677,-0.2770000100135803,[0.0075531005859375],[-0.0041656494140625],[1.1913299560546875],[-2.53143310546875],[31.3502197265625],2
35,"[0.6297999620437622, -0.07599997520446777, -0.7073999643325806]",0.6297999620437622,-0.07599997520446777,-0.7073999643325806,[0.0214691162109375],[0.0073699951171875],[1.189422607421875],[0.4852294921875],[28.381744384765625],1
36,"[0.8730000257492065, -0.11599999666213989, -0.2630000114440918]",0.8730000257492065,-0.11599999666213989,-0.2630000114440918,[-0.0535125732421875],[0.006500244140625],[1.1928558349609375],[-4.73785400390625],[31.351715087890625],2
37,"[0.6413999795913696, -0.05500000715255737, -0.6917999982833862]",0.6413999795913696,-0.05500000715255737,-0.6917999982833862,[-0.0326385498046875],[0.0095672607421875],[2.947998046875],[0.68817138671875],[28.717803955078125],1
